epoch: 1, train loss: 1.937, valid acc: 0.384, test acc: 0.395, time cost: 72.5 sec 
epoch: 2, train loss: 1.724, valid acc: 0.433, test acc: 0.441, time cost: 71.6 sec 
epoch: 3, train loss: 1.635, valid acc: 0.476, test acc: 0.474, time cost: 72.3 sec 
epoch: 4, train loss: 1.587, valid acc: 0.492, test acc: 0.499, time cost: 72.9 sec 
epoch: 5, train loss: 1.547, valid acc: 0.495, test acc: 0.498, time cost: 72.6 sec 
epoch: 6, train loss: 1.523, valid acc: 0.510, test acc: 0.514, time cost: 74.4 sec 
epoch: 7, train loss: 1.500, valid acc: 0.528, test acc: 0.537, time cost: 74.9 sec 
epoch: 8, train loss: 1.482, valid acc: 0.552, test acc: 0.555, time cost: 75.0 sec 
epoch: 9, train loss: 1.466, valid acc: 0.541, test acc: 0.545, time cost: 73.4 sec 
epoch: 10, train loss: 1.453, valid acc: 0.526, test acc: 0.532, time cost: 71.3 sec 
epoch: 11, train loss: 1.444, valid acc: 0.524, test acc: 0.524, time cost: 74.1 sec 
epoch: 12, train loss: 1.427, valid acc: 0.550, test acc: 0.554, time cost: 73.9 sec 
epoch: 13, train loss: 1.417, valid acc: 0.531, test acc: 0.533, time cost: 74.0 sec 
epoch: 14, train loss: 1.407, valid acc: 0.554, test acc: 0.559, time cost: 73.0 sec 
epoch: 15, train loss: 1.390, valid acc: 0.543, test acc: 0.540, time cost: 73.0 sec 
epoch: 16, train loss: 1.387, valid acc: 0.544, test acc: 0.542, time cost: 73.1 sec 
epoch: 17, train loss: 1.368, valid acc: 0.531, test acc: 0.536, time cost: 69.1 sec 
epoch: 18, train loss: 1.369, valid acc: 0.548, test acc: 0.548, time cost: 69.3 sec 
epoch: 19, train loss: 1.349, valid acc: 0.539, test acc: 0.538, time cost: 68.7 sec 
epoch: 20, train loss: 1.341, valid acc: 0.528, test acc: 0.533, time cost: 67.9 sec 
epoch: 21, train loss: 1.333, valid acc: 0.536, test acc: 0.541, time cost: 73.4 sec 
epoch: 22, train loss: 1.322, valid acc: 0.536, test acc: 0.529, time cost: 71.8 sec 
epoch: 23, train loss: 1.308, valid acc: 0.532, test acc: 0.531, time cost: 72.9 sec 
epoch: 24, train loss: 1.303, valid acc: 0.535, test acc: 0.538, time cost: 73.7 sec 
epoch: 25, train loss: 1.279, valid acc: 0.527, test acc: 0.528, time cost: 72.0 sec 
epoch: 26, train loss: 1.278, valid acc: 0.527, test acc: 0.530, time cost: 72.4 sec 
epoch: 27, train loss: 1.263, valid acc: 0.535, test acc: 0.537, time cost: 73.2 sec 
epoch: 28, train loss: 1.247, valid acc: 0.514, test acc: 0.519, time cost: 72.6 sec 
epoch: 29, train loss: 1.236, valid acc: 0.516, test acc: 0.516, time cost: 72.3 sec 
epoch: 30, train loss: 1.219, valid acc: 0.493, test acc: 0.492, time cost: 71.5 sec 
epoch: 31, train loss: 1.068, valid acc: 0.501, test acc: 0.505, time cost: 72.0 sec 
epoch: 32, train loss: 1.001, valid acc: 0.488, test acc: 0.490, time cost: 72.3 sec 
epoch: 33, train loss: 0.972, valid acc: 0.491, test acc: 0.498, time cost: 72.5 sec 
epoch: 34, train loss: 0.949, valid acc: 0.484, test acc: 0.485, time cost: 70.9 sec 
epoch: 35, train loss: 0.916, valid acc: 0.488, test acc: 0.488, time cost: 71.3 sec 
epoch: 36, train loss: 0.892, valid acc: 0.481, test acc: 0.486, time cost: 71.5 sec 
epoch: 37, train loss: 0.869, valid acc: 0.476, test acc: 0.478, time cost: 72.8 sec 
epoch: 38, train loss: 0.837, valid acc: 0.480, test acc: 0.482, time cost: 67.4 sec 
epoch: 39, train loss: 0.812, valid acc: 0.470, test acc: 0.478, time cost: 67.3 sec 
epoch: 40, train loss: 0.791, valid acc: 0.467, test acc: 0.476, time cost: 68.7 sec 
epoch: 41, train loss: 0.770, valid acc: 0.469, test acc: 0.472, time cost: 69.8 sec 
epoch: 42, train loss: 0.738, valid acc: 0.458, test acc: 0.467, time cost: 71.9 sec 
epoch: 43, train loss: 0.717, valid acc: 0.461, test acc: 0.468, time cost: 72.2 sec 
epoch: 44, train loss: 0.686, valid acc: 0.469, test acc: 0.469, time cost: 72.4 sec 
epoch: 45, train loss: 0.669, valid acc: 0.469, test acc: 0.475, time cost: 72.8 sec 
epoch: 46, train loss: 0.636, valid acc: 0.459, test acc: 0.470, time cost: 71.9 sec 
epoch: 47, train loss: 0.626, valid acc: 0.465, test acc: 0.474, time cost: 72.2 sec 
epoch: 48, train loss: 0.591, valid acc: 0.463, test acc: 0.469, time cost: 72.9 sec 
epoch: 49, train loss: 0.565, valid acc: 0.476, test acc: 0.482, time cost: 71.7 sec 
epoch: 50, train loss: 0.541, valid acc: 0.463, test acc: 0.470, time cost: 72.5 sec 
epoch: 51, train loss: 0.522, valid acc: 0.467, test acc: 0.472, time cost: 70.2 sec 
epoch: 52, train loss: 0.505, valid acc: 0.465, test acc: 0.476, time cost: 71.3 sec 
epoch: 53, train loss: 0.491, valid acc: 0.462, test acc: 0.470, time cost: 72.7 sec 
epoch: 54, train loss: 0.465, valid acc: 0.467, test acc: 0.472, time cost: 72.1 sec 
epoch: 55, train loss: 0.447, valid acc: 0.473, test acc: 0.477, time cost: 72.6 sec 
epoch: 56, train loss: 0.433, valid acc: 0.472, test acc: 0.481, time cost: 71.1 sec 
epoch: 57, train loss: 0.425, valid acc: 0.462, test acc: 0.468, time cost: 72.3 sec 
epoch: 58, train loss: 0.406, valid acc: 0.462, test acc: 0.468, time cost: 71.1 sec 
epoch: 59, train loss: 0.394, valid acc: 0.473, test acc: 0.481, time cost: 68.1 sec 
epoch: 60, train loss: 0.384, valid acc: 0.473, test acc: 0.479, time cost: 68.9 sec 
epoch: 61, train loss: 0.288, valid acc: 0.472, test acc: 0.477, time cost: 69.7 sec 
epoch: 62, train loss: 0.254, valid acc: 0.467, test acc: 0.475, time cost: 70.1 sec 
epoch: 63, train loss: 0.239, valid acc: 0.468, test acc: 0.476, time cost: 72.3 sec 
epoch: 64, train loss: 0.231, valid acc: 0.473, test acc: 0.478, time cost: 71.9 sec 
epoch: 65, train loss: 0.221, valid acc: 0.470, test acc: 0.476, time cost: 71.9 sec 
epoch: 66, train loss: 0.221, valid acc: 0.471, test acc: 0.476, time cost: 71.6 sec 
epoch: 67, train loss: 0.211, valid acc: 0.469, test acc: 0.478, time cost: 71.4 sec 
epoch: 68, train loss: 0.198, valid acc: 0.471, test acc: 0.475, time cost: 72.4 sec 
epoch: 69, train loss: 0.195, valid acc: 0.467, test acc: 0.474, time cost: 71.4 sec 
epoch: 70, train loss: 0.187, valid acc: 0.471, test acc: 0.478, time cost: 73.6 sec 
epoch: 71, train loss: 0.188, valid acc: 0.467, test acc: 0.475, time cost: 72.6 sec 
epoch: 72, train loss: 0.186, valid acc: 0.467, test acc: 0.472, time cost: 73.1 sec 
epoch: 73, train loss: 0.185, valid acc: 0.469, test acc: 0.475, time cost: 73.7 sec 
epoch: 74, train loss: 0.182, valid acc: 0.467, test acc: 0.474, time cost: 72.0 sec 
epoch: 75, train loss: 0.177, valid acc: 0.469, test acc: 0.472, time cost: 72.7 sec 
epoch: 76, train loss: 0.180, valid acc: 0.468, test acc: 0.472, time cost: 71.6 sec 
epoch: 77, train loss: 0.171, valid acc: 0.468, test acc: 0.474, time cost: 71.3 sec 
epoch: 78, train loss: 0.165, valid acc: 0.469, test acc: 0.475, time cost: 73.2 sec 
