training, validation, test
[0.811610546875],[0.614],0.6087
[0.879395703125],[0.6294],0.622
[0.89295390625],[0.6277],0.6216
[0.89934921875],[0.6298],0.6252
[0.903767578125],[0.6306],0.6231
[0.891128515625],[0.6449],0.6349
[0.90217109375],[0.6331],0.6267
[0.90594375],[0.627],0.6192
[0.908323828125],[0.6278],0.6158
[0.910175390625],[0.6333],0.6305
[0.89683984375],[0.6142],0.6105
[0.90564921875],[0.6322],0.6279
[0.908779296875],[0.6243],0.6188
[0.910413671875],[0.628],0.6264
[0.91213359375],[0.6344],0.6298
[0.899088671875],[0.6211],0.617
[0.907469140625],[0.6283],0.6251
[0.910098828125],[0.6252],0.6249
[0.91210546875],[0.629],0.6209
[0.91367265625],[0.6304],0.627
[0.900546484375],[0.6335],0.6328
[0.90853828125],[0.6201],0.6177
[0.91132734375],[0.6233],0.6201
[0.913188671875],[0.6279],0.627
[0.91440625],[0.6368],0.633
[0.901015625],[0.6175],0.611
[0.909259375],[0.639],0.633
[0.912215625],[0.6441],0.6443
[0.91395078125],[0.6329],0.6336
[0.915376171875],[0.6362],0.6323
[0.901858203125],[0.6317],0.629
[0.9101078125],[0.6308],0.6271
[0.9126765625],[0.6381],0.6318
[0.91443828125],[0.6313],0.6234
[0.91584765625],[0.6406],0.6353
[0.902040625],[0.6363],0.626
[0.91031796875],[0.6159],0.6103
[0.91331640625],[0.6414],0.6343
[0.914801171875],[0.6364],0.6324
[0.9162046875],[0.6484],0.6419
[0.902118359375],[0.6456],0.6332
[0.910481640625],[0.6206],0.613
[0.91354140625],[0.6217],0.6136
[0.915215625],[0.6284],0.6259
[0.91675390625],[0.6531],0.6461
[0.90263671875],[0.622],0.6093
[0.910953515625],[0.6352],0.6347
[0.9136765625],[0.6266],0.6173
[0.91547890625],[0.6487],0.6332
[0.91709296875],[0.6446],0.6404
[0.9027734375],[0.6304],0.627
[0.911338671875],[0.6442],0.6312
[0.91401640625],[0.6252],0.6168
[0.91612890625],[0.6306],0.6218
[0.9174703125],[0.6526],0.6479
[0.903021875],[0.6331],0.6283
[0.911575390625],[0.6388],0.6335
[0.914544921875],[0.6506],0.637
[0.91635546875],[0.6375],0.6313
[0.917902734375],[0.6276],0.6258
[0.90325078125],[0.6293],0.6201
[0.91191328125],[0.6385],0.6292
[0.91436640625],[0.6477],0.6384
[0.9164140625],[0.6356],0.6249
[0.918075],[0.6342],0.6292
[0.90327578125],[0.6335],0.626
[0.912059765625],[0.6436],0.6366
[0.914648828125],[0.6475],0.6371
[0.916632421875],[0.6233],0.6177
[0.91809921875],[0.6224],0.6173
[0.9031796875],[0.629],0.6205
[0.91214765625],[0.6281],0.6171
[0.91486796875],[0.6392],0.6305
[0.916738671875],[0.6346],0.6249
[0.91814921875],[0.628],0.6173
[0.903723828125],[0.6464],0.6414
[0.912424609375],[0.634],0.6259
[0.914708203125],[0.6358],0.625
[0.916813671875],[0.6369],0.632
[0.918612890625],[0.6405],0.6321
[0.903683203125],[0.6286],0.6221
[0.9122734375],[0.6406],0.6346
[0.915073046875],[0.635],0.6368
[0.9171609375],[0.6181],0.6118
[0.918776171875],[0.6376],0.63
[0.903757421875],[0.6109],0.605
[0.91260625],[0.6414],0.6336
[0.91527890625],[0.6369],0.631
[0.917478125],[0.6272],0.614
[0.918636328125],[0.6486],0.6433
[0.903992578125],[0.6361],0.6289
[0.912733984375],[0.6219],0.617
[0.915417578125],[0.6488],0.6443
[0.917715625],[0.6327],0.6285
[0.919051171875],[0.6416],0.634
[0.90411796875],[0.5989],0.5919
[0.912746875],[0.6278],0.6185
[0.91574375],[0.6228],0.6174
[0.917741796875],[0.6364],0.6341
[0.91916953125],[0.6337],0.6269
