training, validation, test
0.660373828125,0.5584,0.5515
0.7887421875,0.6166,0.6107
0.827252734375,0.6251,0.6184
0.847589453125,0.6303,0.6231
0.8610234375,0.6356,0.6285
0.870369140625,0.6258,0.6153
0.879086328125,0.6174,0.6053
0.885448046875,0.6327,0.6254
0.89052421875,0.6173,0.6097
0.89467734375,0.6319,0.6323
0.897061328125,0.6285,0.6252
0.900221484375,0.6359,0.6348
0.902612109375,0.6292,0.6247
0.904551953125,0.6259,0.6251
0.906131640625,0.635,0.6293
0.90588671875,0.6347,0.6274
0.907076953125,0.6315,0.6307
0.908040234375,0.627,0.6258
0.908998828125,0.6135,0.6108
0.909349609375,0.6284,0.6194
0.907869921875,0.6329,0.6291
0.909167578125,0.644,0.6392
0.910073046875,0.6267,0.6258
0.91034375,0.6229,0.6204
0.911087109375,0.6252,0.6248
0.90961640625,0.6464,0.6459
0.910313671875,0.6192,0.6127
0.911365234375,0.6235,0.6141
0.91193828125,0.6254,0.6191
0.91226875,0.632,0.624
0.911036328125,0.6189,0.6167
0.9122984375,0.632,0.6266
0.91249296875,0.6292,0.6208
0.913365234375,0.631,0.6175
0.913721875,0.6232,0.6173
0.912124609375,0.6271,0.622
0.9133875,0.6268,0.6189
0.9139453125,0.6323,0.6258
0.914204296875,0.633,0.6254
0.91478828125,0.6343,0.6256
0.913188671875,0.624,0.6141
0.914327734375,0.6309,0.6269
0.914672265625,0.6296,0.62
0.915412890625,0.6288,0.6277
0.91599140625,0.6321,0.625
0.914205078125,0.6405,0.6372
0.9153578125,0.6314,0.6245
0.91586171875,0.6337,0.6268
0.916367578125,0.6261,0.6229
0.916928125,0.6375,0.6297
0.91497109375,0.6209,0.6133
0.916206640625,0.6231,0.6175
0.91674765625,0.6348,0.6291
0.917358203125,0.6332,0.6286
0.91762421875,0.6324,0.6267
0.9159328125,0.6279,0.622
0.91667890625,0.6295,0.6267
0.9177109375,0.6213,0.6143
0.9179859375,0.6324,0.6267
0.918309375,0.6247,0.6168
0.91673828125,0.621,0.6155
0.91759296875,0.6274,0.618
0.918551953125,0.6267,0.6215
0.918737109375,0.6297,0.629
0.9192578125,0.64,0.6359
0.917278125,0.6357,0.631
0.91808359375,0.6312,0.6273
0.918848046875,0.6202,0.6123
0.919512109375,0.6304,0.6228
0.91970859375,0.6277,0.6222
0.91760625,0.6301,0.6234
0.9186234375,0.6317,0.6232
0.919403515625,0.6386,0.6372
0.9200515625,0.6322,0.6302
0.920269921875,0.6211,0.6205
0.918298828125,0.6321,0.6292
0.919309765625,0.6348,0.632
0.91976953125,0.6449,0.6398
0.920417578125,0.631,0.6285
0.92071484375,0.6374,0.627
0.918596484375,0.6348,0.6308
0.91962109375,0.6392,0.6366
0.920354296875,0.6287,0.6246
0.920830859375,0.6333,0.6323
0.921210546875,0.6301,0.6251
0.919196875,0.6374,0.6364
0.92005234375,0.625,0.625
0.9208390625,0.6235,0.6144
0.921107421875,0.6203,0.6172
0.9217203125,0.6411,0.6389
0.91949375,0.6428,0.638
0.92052578125,0.6145,0.6107
0.921194921875,0.6289,0.6269
0.921575,0.6281,0.6246
0.922029296875,0.6326,0.6244
0.919905859375,0.6264,0.6246
0.921001953125,0.6367,0.6304
0.921565234375,0.6154,0.6066
0.9218171875,0.6284,0.6251
0.922479296875,0.6259,0.6235
0.92017578125,0.6344,0.6278
0.92105546875,0.639,0.6345
0.92198828125,0.6354,0.6321
0.922366796875,0.6294,0.6235
0.923005859375,0.6316,0.6282
0.920501953125,0.6341,0.63
0.921751953125,0.6398,0.6339
0.922003515625,0.6395,0.6303
0.922633984375,0.6275,0.6192
0.922890234375,0.624,0.6239
0.921093359375,0.6371,0.6349
0.921932421875,0.6269,0.6261
0.92245390625,0.6245,0.6184
0.92291015625,0.6337,0.6325
0.923369140625,0.6254,0.6188
0.92124609375,0.6301,0.6241
0.922292578125,0.6284,0.6235
0.9227390625,0.6351,0.628
0.923192578125,0.6272,0.6182
0.923562890625,0.6309,0.6251
0.921726953125,0.6287,0.6244
0.92234296875,0.6263,0.6208
0.923058984375,0.6323,0.6269
0.923428515625,0.6359,0.6318
0.92389765625,0.6228,0.6139
0.921866015625,0.6379,0.6315
0.922640625,0.6309,0.6312
0.9235328125,0.6222,0.6194
0.92390859375,0.6427,0.6315
0.924112890625,0.6398,0.6314
0.9221,0.6408,0.635
0.922817578125,0.6349,0.6306
0.923909375,0.6342,0.629
0.924166015625,0.6272,0.6234
0.924451171875,0.6244,0.6192
0.92236171875,0.6343,0.6296
0.92333359375,0.6346,0.628
0.92381484375,0.6215,0.6139
0.924290234375,0.6232,0.6166
0.92492265625,0.6295,0.6235
0.922462890625,0.6199,0.6126
0.923283203125,0.6216,0.6205
0.924258984375,0.6202,0.618
0.924573828125,0.6214,0.6126
0.92497578125,0.6298,0.6223
0.922722265625,0.6391,0.6318
0.92362421875,0.6303,0.6283
0.924551953125,0.6293,0.6252
0.924577734375,0.6348,0.6297
0.925278515625,0.6303,0.6241
0.923130078125,0.6315,0.626
0.923596484375,0.6302,0.6207
0.924555078125,0.6359,0.6303
0.9250296875,0.636,0.6322
0.925241015625,0.6425,0.63
0.923152734375,0.6267,0.6191
0.924103515625,0.6169,0.6081
0.92464140625,0.6369,0.6328
0.925151953125,0.6219,0.6162
0.9259953125,0.6327,0.626
0.923522265625,0.6434,0.6369
0.924134765625,0.6424,0.6341
0.924939453125,0.6306,0.6274
0.92545078125,0.6253,0.6225
0.925625390625,0.6222,0.6155
0.923512890625,0.6321,0.6248
