training, validation, test
[0.908611328125],[0.6393],0.6325
[0.909259765625],[0.6296],0.6206
[0.90978671875],[0.6392],0.6352
[0.91017265625],[0.6368],0.6302
[0.907709765625],[0.6282],0.6153
[0.9089703125],[0.631],0.6263
[0.909509765625],[0.6323],0.6254
[0.909780859375],[0.6359],0.6279
[0.910474609375],[0.6396],0.6319
[0.907569140625],[0.6391],0.6308
[0.9088265625],[0.6205],0.6105
[0.909307421875],[0.6307],0.6248
[0.90987578125],[0.6308],0.6221
[0.910183203125],[0.64],0.6319
[0.9076515625],[0.6452],0.6349
[0.9086671875],[0.6085],0.6017
[0.909263671875],[0.6346],0.6239
[0.910012109375],[0.6225],0.6153
[0.91036875],[0.6173],0.6115
[0.90770234375],[0.638],0.6354
[0.908756640625],[0.64],0.6324
[0.909523828125],[0.6084],0.6011
[0.909699609375],[0.6228],0.6185
[0.9103859375],[0.6509],0.6427
[0.907687109375],[0.6204],0.6141
[0.908730078125],[0.615],0.6054
[0.909366796875],[0.6509],0.6427
[0.9100484375],[0.6248],0.6222
[0.91067421875],[0.6165],0.6107
