training, validation, test
[0.751041796875],[0.5912],0.5847
[0.805695703125],[0.6092],0.6005
[0.817504296875],[0.6148],0.608
[0.82415234375],[0.6135],0.6086
[0.828683984375],[0.6147],0.6086
[0.845913671875],[0.6237],0.6163
[0.861458203125],[0.6292],0.6248
[0.865334765625],[0.6347],0.6313
[0.867976953125],[0.6298],0.6269
[0.869264453125],[0.633],0.6287
[0.872402734375],[0.6327],0.6287
[0.88344375],[0.6327],0.6296
[0.88600390625],[0.6383],0.6316
[0.8875765625],[0.6329],0.6273
[0.88907890625],[0.6349],0.6299
[0.8864265625],[0.6367],0.6308
[0.896480859375],[0.6341],0.6287
[0.8987359375],[0.6327],0.6262
[0.8998265625],[0.6356],0.6292
[0.90086640625],[0.6332],0.6308
[0.895588671875],[0.6339],0.6285
[0.905491796875],[0.6356],0.6292
[0.9071859375],[0.631],0.6251
[0.908153515625],[0.6326],0.6265
[0.909003125],[0.6361],0.6298
[0.90130859375],[0.6306],0.6238
[0.910796484375],[0.6344],0.6282
[0.912596484375],[0.6363],0.63
[0.913312890625],[0.6325],0.6275
[0.913794921875],[0.6347],0.6295
[0.904548046875],[0.637],0.6313
[0.91453515625],[0.6364],0.6301
[0.916],[0.6362],0.6289
[0.916408984375],[0.6338],0.6264
[0.91703046875],[0.6307],0.623
[0.906542578125],[0.6364],0.6342
[0.916868359375],[0.6319],0.6281
[0.9180421875],[0.6336],0.6304
[0.91835390625],[0.6296],0.6271
[0.91881640625],[0.6304],0.6285
[0.907940234375],[0.6283],0.6279
[0.91827109375],[0.6326],0.6301
[0.919409375],[0.6308],0.6316
[0.9200140625],[0.6332],0.6343
[0.92027421875],[0.6307],0.6307
[0.908787109375],[0.6376],0.6346
[0.919232421875],[0.6341],0.6341
[0.920467578125],[0.6385],0.6354
[0.9207296875],[0.6349],0.633
[0.9210875],[0.6348],0.6329
[0.909494140625],[0.6328],0.6332
[0.919880078125],[0.6338],0.6307
[0.920857421875],[0.6368],0.6323
[0.921670703125],[0.636],0.6335
[0.921834375],[0.6356],0.6336
[0.90976171875],[0.6285],0.6282
[0.920507421875],[0.6332],0.6347
[0.921650390625],[0.6292],0.6294
[0.92232265625],[0.6318],0.6287
[0.92230859375],[0.6317],0.6312
[0.910306640625],[0.6281],0.6276
[0.920883984375],[0.6343],0.6374
[0.92219140625],[0.6323],0.6323
[0.922630078125],[0.6326],0.6328
[0.923153125],[0.6299],0.6302
[0.911134765625],[0.6323],0.628
[0.92167265625],[0.6293],0.629
[0.92275859375],[0.63],0.6319
[0.9233421875],[0.6304],0.6317
[0.923734375],[0.6313],0.6337
[0.911623828125],[0.6301],0.6265
[0.922126953125],[0.6344],0.6328
[0.923112109375],[0.6328],0.6276
