[0.623, 0.621, 0.6285, 0.6215, 0.6245, 0.62, 0.625, 0.624, 0.6155, 0.674504041146216]
[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 1361]
[0.5815, 0.6115, 0.628, 0.6295, 0.6315, 0.6315, 0.637, 0.6325, 0.6415, 0.6375]
[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]
[0.3695, 0.39787632729544037, 0.4253563390847712, 0.4022140221402214, 0.3995, 0.3975, 0.405, 0.4015, 0.3915, 0.4025]
[2000, 1601, 1333, 1897, 2000, 2000, 2000, 2000, 2000, 2000]
[0.307, 0.322, 0.3454124903623747, 0.35965746907706947, 0.3245192307692308, 0.3208489388264669, 0.32673267326732675, 0.31503716409376786, 0.3137485311398355, 0.3193384223918575]
[2000, 2000, 1297, 1051, 1664, 1602, 1616, 1749, 1702, 1572]
[0.284, 0.3057228915662651, 0.2916307161345988, 0.3102189781021898, 0.33639705882352944, 0.30367835757057315, 0.2967687074829932, 0.3032094594594595, 0.3006134969325153, 0.30823737821080605]
[2000, 1328, 1159, 822, 544, 1169, 1176, 1184, 1141, 1129]
[0.496, 0.494, 0.501466275659824, 0.5178451178451179, 0.5074135090609555, 0.5202821869488536, 0.5080500894454383, 0.4958382877526754, 0.48493462194428655, 0.4913329348475792]
[2000, 2000, 1705, 1485, 1214, 1134, 1677, 1682, 1759, 1673]
[0.4745, 0.4802448525319978, 0.5137446548564447, 0.5589016829052259, 0.6004464285714286, 0.632086851628468, 0.6427525622254758, 0.5915841584158416, 0.5755770662695457, 0.5711191335740072]
[2000, 1797, 1637, 1129, 896, 829, 683, 1212, 1343, 1385]
[0.6375, 0.6682590233545648, 0.6960142772159429, 0.7302357836338419, 0.7646592709984152, 0.7897574123989218, 0.8284424379232506, 0.8339060710194731, 0.7941952506596306, 0.7829002514668902]
[2000, 1884, 1681, 1442, 1262, 1113, 886, 873, 1137, 1193]
[0.71, 0.7075, 0.7175, 0.719, 0.7325146823278164, 0.7575351640991292, 0.7928221859706363, 0.8011928429423459, 0.8123076923076923, 0.7584507042253521]
[2000, 2000, 2000, 2000, 1873, 1493, 1226, 1006, 975, 1420]
[0.5515, 0.572, 0.5725190839694656, 0.575356415478615, 0.5984081041968162, 0.6053082191780822, 0.6594202898550725, 0.688, 0.7, 0.7]
[2000, 2000, 1965, 1964, 1382, 1168, 552, 125, 50, 50]
